player_id,pos,age,g,mp,fg,fga,x3p,x2p,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,pred_pos,score
3491,C,42.0,6,46.0,1,12,0.0,1,1,2,4.0,4.0,8.0,0,1.0,1.0,0.0,8,3,SG,0
4692,PF,23.0,54,1251.0,233,401,28.0,205,69,92,61.0,276.0,337.0,46,23.0,72.0,98.0,73,563,C,0
4840,C,21.0,48,1368.0,191,430,64.0,127,106,145,112.0,274.0,386.0,66,20.0,32.0,67.0,128,552,C,0
4800,PF,25.0,46,706.0,121,196,9.0,112,38,61,76.0,103.0,179.0,22,16.0,25.0,33.0,101,289,C,0
4772,C,23.0,54,1592.0,301,417,0.0,301,90,178,137.0,351.0,488.0,89,40.0,139.0,69.0,152,692,C,0
4771,C,23.0,53,939.0,216,408,51.0,165,56,83,60.0,190.0,250.0,54,29.0,45.0,68.0,129,539,C,0
4768,C,23.0,34,288.0,61,96,0.0,61,33,72,57.0,82.0,139.0,4,3.0,14.0,14.0,38,155,C,0
4730,C,22.0,33,438.0,60,113,3.0,57,41,61,31.0,66.0,97.0,24,13.0,11.0,20.0,44,164,PF,0
4719,C,23.0,21,202.0,27,52,4.0,23,11,24,25.0,24.0,49.0,18,9.0,10.0,12.0,34,69,PF,0
4705,C,24.0,56,1049.0,190,255,0.0,190,89,139,109.0,186.0,295.0,52,20.0,74.0,53.0,126,469,C,0
4695,C,24.0,64,736.0,100,192,0.0,100,60,88,98.0,148.0,246.0,60,12.0,62.0,42.0,136,260,C,0
4693,PF,26.0,51,1020.0,219,330,1.0,218,96,133,83.0,202.0,285.0,64,33.0,36.0,53.0,122,535,C,0
4682,C,23.0,39,1173.0,222,417,51.0,171,106,141,77.0,254.0,331.0,103,14.0,22.0,86.0,115,601,C,0
4846,C,21.0,44,572.0,128,206,2.0,126,54,80,40.0,116.0,156.0,28,6.0,14.0,28.0,80,312,C,0
4667,C,25.0,23,543.0,88,119,0.0,88,15,23,73.0,132.0,205.0,38,12.0,26.0,22.0,41,191,C,0
4663,C,25.0,38,799.0,138,282,39.0,99,111,128,53.0,127.0,180.0,64,29.0,9.0,47.0,104,426,PF,0
4662,C,24.0,82,1394.0,216,442,86.0,130,70,106,96.0,284.0,380.0,86,24.0,82.0,46.0,184,588,C,0
4661,C,24.0,38,1022.0,118,175,0.0,118,39,77,165.0,173.0,338.0,37,34.0,68.0,18.0,111,275,C,0
4656,C,23.0,25,532.0,108,201,9.0,99,40,52,52.0,96.0,148.0,14,13.0,18.0,22.0,51,265,PF,0
4632,C,23.0,40,1088.0,242,482,62.0,180,131,169,69.0,198.0,267.0,35,44.0,131.0,63.0,135,677,C,0
4627,C,24.0,60,1181.0,132,255,8.0,124,40,53,168.0,228.0,396.0,52,34.0,50.0,49.0,152,312,C,0
4610,C,25.0,56,1093.0,139,204,3.0,136,51,75,91.0,185.0,276.0,64,28.0,67.0,44.0,122,332,C,0
4603,C,24.0,51,1540.0,416,701,7.0,409,117,159,143.0,372.0,515.0,104,29.0,37.0,98.0,141,956,C,0
4597,C,25.0,44,476.0,91,150,8.0,83,30,37,32.0,100.0,132.0,31,12.0,14.0,26.0,57,220,PF,0
4845,PF,22.0,51,928.0,173,375,41.0,132,76,100,89.0,196.0,285.0,48,17.0,39.0,57.0,107,463,C,0
4869,C,25.0,45,776.0,135,218,0.0,135,90,124,112.0,147.0,259.0,22,9.0,43.0,39.0,104,360,C,0
4569,C,25.0,12,33.0,6,12,3.0,3,4,4,1.0,10.0,11.0,1,1.0,1.0,1.0,2,19,SG,0
4974,C,22.0,27,237.0,31,59,3.0,28,8,12,20.0,32.0,52.0,5,5.0,11.0,9.0,30,73,PF,0
5081,C,22.0,29,397.0,46,86,0.0,46,21,29,44.0,74.0,118.0,21,12.0,12.0,15.0,52,113,PF,0
5075,C,21.0,29,461.0,87,138,0.0,87,46,63,49.0,113.0,162.0,8,21.0,34.0,22.0,61,220,C,0
5062,C,20.0,8,26.0,1,4,0.0,1,0,0,1.0,1.0,2.0,1,0.0,2.0,0.0,2,2,SG,0
5053,C,19.0,51,1283.0,186,285,0.0,186,69,113,170.0,276.0,446.0,55,31.0,46.0,61.0,136,441,C,0
5047,PF,19.0,55,1646.0,232,596,88.0,144,108,136,71.0,316.0,387.0,65,28.0,53.0,81.0,163,660,C,0
5037,C,22.0,45,658.0,61,125,1.0,60,35,53,70.0,76.0,146.0,22,13.0,48.0,18.0,110,158,C,0
5004,C,23.0,24,218.0,19,58,7.0,12,12,18,18.0,38.0,56.0,16,4.0,5.0,9.0,19,57,PF,0
4995,C,23.0,4,25.0,6,8,0.0,6,0,2,4.0,5.0,9.0,1,0.0,1.0,1.0,7,12,SG,0
4987,C,23.0,3,5.0,0,1,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,SG,0
4982,C,24.0,22,205.0,53,101,13.0,40,33,43,27.0,26.0,53.0,14,2.0,1.0,9.0,33,152,SF,0
4961,C,27.0,51,721.0,127,246,17.0,110,64,82,85.0,119.0,204.0,46,13.0,23.0,47.0,92,335,PF,0
4872,C,22.0,57,1365.0,222,352,1.0,221,86,116,152.0,265.0,417.0,58,38.0,73.0,55.0,185,531,C,0
4960,C,24.0,47,767.0,80,104,0.0,80,12,16,93.0,137.0,230.0,24,15.0,27.0,24.0,91,172,C,0
4940,C,21.0,45,689.0,118,206,2.0,116,68,105,63.0,112.0,175.0,40,19.0,66.0,39.0,99,306,C,0
4931,PF,21.0,59,2016.0,381,691,14.0,367,152,219,140.0,386.0,526.0,158,46.0,80.0,120.0,168,928,C,0
4927,C,21.0,32,327.0,54,100,4.0,50,16,27,53.0,70.0,123.0,23,5.0,16.0,27.0,60,128,C,0
4917,C,22.0,26,354.0,51,83,2.0,49,18,28,55.0,89.0,144.0,32,9.0,24.0,30.0,53,122,C,0
4904,C,20.0,53,1498.0,314,559,12.0,302,162,215,167.0,297.0,464.0,194,45.0,51.0,133.0,180,802,C,0
4895,C,21.0,11,28.0,2,8,0.0,2,2,2,3.0,8.0,11.0,3,2.0,2.0,2.0,5,6,SG,0
4894,C,23.0,24,137.0,21,24,0.0,21,2,6,13.0,37.0,50.0,6,3.0,6.0,10.0,12,44,PF,0
4876,C,23.0,35,827.0,140,287,19.0,121,67,97,75.0,160.0,235.0,36,24.0,24.0,41.0,76,366,PF,0
4874,C,23.0,44,422.0,60,103,0.0,60,16,22,54.0,87.0,141.0,14,29.0,28.0,26.0,82,136,PF,0
4580,C,25.0,48,1016.0,187,347,29.0,158,78,105,86.0,197.0,283.0,126,21.0,30.0,92.0,153,481,C,0
4568,C,25.0,88,1812.0,408,624,44.0,364,168,226,140.0,432.0,572.0,58,28.0,46.0,58.0,162,1028,C,0
3734,C,36.0,45,1381.0,156,336,92.0,64,13,18,53.0,227.0,280.0,119,22.0,41.0,28.0,85,417,PF,0
4100,C,30.0,58,1433.0,332,610,31.0,301,141,171,166.0,399.0,565.0,96,16.0,28.0,111.0,178,836,C,0
4239,C,31.0,55,1083.0,141,194,0.0,141,92,130,112.0,123.0,235.0,44,35.0,23.0,50.0,159,374,PF,0
4230,C,28.0,43,1156.0,237,378,0.0,237,49,80,183.0,305.0,488.0,35,30.0,51.0,35.0,95,523,C,0
4208,C,29.0,42,1133.0,157,263,0.0,157,47,129,214.0,271.0,485.0,97,36.0,46.0,79.0,98,361,C,0
4199,C,30.0,50,1524.0,255,377,0.0,255,156,233,158.0,422.0,580.0,45,39.0,65.0,88.0,148,666,C,0
4183,C,31.0,92,1396.0,208,468,130.0,78,64,82,48.0,250.0,298.0,80,24.0,40.0,32.0,152,610,PF,0
4180,C,32.0,116,3264.0,538,800,0.0,538,322,524,378.0,726.0,1104.0,422,74.0,72.0,176.0,332,1398,C,0
4177,C,31.0,48,1353.0,195,393,70.0,125,122,143,60.0,195.0,255.0,158,46.0,27.0,105.0,184,582,PF,0
4167,C,33.0,19,193.0,24,60,12.0,12,5,6,18.0,35.0,53.0,28,2.0,7.0,16.0,28,65,SF,0
4158,C,33.0,30,350.0,64,129,11.0,53,32,44,28.0,81.0,109.0,16,7.0,14.0,19.0,61,171,PF,0
4142,C,29.0,13,46.0,5,10,0.0,5,3,4,4.0,11.0,15.0,5,0.0,0.0,4.0,9,13,SG,0
4066,C,29.0,35,1168.0,344,612,13.0,331,209,255,114.0,317.0,431.0,88,41.0,70.0,74.0,96,910,C,0
4278,C,28.0,14,152.0,12,30,1.0,11,7,10,7.0,30.0,37.0,7,13.0,9.0,8.0,25,32,SF,0
4064,C,29.0,46,595.0,124,198,0.0,124,47,88,97.0,211.0,308.0,26,31.0,16.0,53.0,85,295,C,0
4047,C,32.0,59,2004.0,432,838,98.0,334,92,112,123.0,553.0,676.0,198,41.0,48.0,102.0,133,1054,C,0
3984,C,30.0,46,642.0,79,138,0.0,79,16,51,51.0,136.0,187.0,43,15.0,59.0,43.0,84,174,C,0
3920,C,33.0,26,375.0,47,92,19.0,28,15,24,24.0,65.0,89.0,33,8.0,5.0,13.0,50,128,PF,0
3905,C,37.0,36,353.0,52,95,4.0,48,22,32,26.0,44.0,70.0,27,13.0,10.0,19.0,67,130,SF,0
3902,C,33.0,16,185.0,26,54,6.0,20,8,13,15.0,29.0,44.0,4,2.0,7.0,11.0,23,66,PF,0
3845,C,34.0,30,238.0,36,56,2.0,34,12,16,19.0,21.0,40.0,13,1.0,4.0,20.0,33,86,SF,0
3824,C,35.0,36,293.0,64,106,1.0,63,18,32,28.0,65.0,93.0,10,4.0,21.0,31.0,43,147,C,0
3810,C,34.0,34,498.0,74,96,1.0,73,18,41,41.0,126.0,167.0,31,8.0,22.0,42.0,65,167,C,0
3801,C,34.0,57,1729.0,315,621,104.0,211,94,122,111.0,260.0,371.0,70,27.0,139.0,77.0,145,828,C,0
4267,C,28.0,45,1227.0,232,443,39.0,193,116,169,103.0,322.0,425.0,130,39.0,39.0,110.0,162,619,C,0
4282,C,27.0,23,171.0,11,24,1.0,10,2,2,18.0,30.0,48.0,7,2.0,8.0,11.0,35,25,C,0
4547,C,31.0,22,564.0,51,104,24.0,27,11,14,19.0,59.0,78.0,21,7.0,22.0,13.0,48,137,PF,0
4410,C,25.0,59,1734.0,237,384,0.0,237,128,183,196.0,402.0,598.0,62,23.0,77.0,101.0,174,602,C,0
4539,C,27.0,51,605.0,85,122,3.0,82,29,34,64.0,84.0,148.0,36,10.0,40.0,19.0,69,202,C,0
4531,C,30.0,20,162.0,19,32,1.0,18,4,5,8.0,17.0,25.0,7,5.0,5.0,8.0,24,43,SG,0
4519,PF,25.0,50,1555.0,259,512,40.0,219,104,128,56.0,298.0,354.0,62,34.0,62.0,59.0,164,662,C,0
4515,C,24.0,54,1798.0,332,507,1.0,331,129,180,172.0,360.0,532.0,91,43.0,66.0,81.0,122,794,C,0
4487,C,30.0,6,93.0,18,37,1.0,17,4,10,4.0,13.0,17.0,6,1.0,4.0,2.0,6,41,SG,0
4472,C,25.0,54,1909.0,461,848,1.0,460,243,302,144.0,395.0,539.0,177,65.0,44.0,136.0,152,1166,PF,0
4460,C,28.0,29,372.0,75,140,1.0,74,67,85,50.0,96.0,146.0,27,9.0,12.0,31.0,51,218,C,0
4437,C,28.0,49,1845.0,444,922,69.0,375,280,366,92.0,289.0,381.0,300,40.0,27.0,126.0,166,1237,PF,0
4417,C,28.0,45,1571.0,496,924,50.0,446,447,521,80.0,377.0,457.0,183,52.0,68.0,159.0,144,1489,PF,0
4412,C,27.0,98,2556.0,518,824,0.0,518,160,272,320.0,548.0,868.0,292,78.0,122.0,202.0,268,1196,C,0
4400,C,26.0,55,1904.0,389,637,23.0,366,233,305,164.0,511.0,675.0,379,46.0,25.0,158.0,204,1034,PF,0
4306,C,34.0,19,83.0,21,32,0.0,21,14,17,9.0,20.0,29.0,4,1.0,1.0,5.0,3,56,SF,0
4387,C,27.0,46,368.0,46,82,0.0,46,32,44,36.0,78.0,114.0,8,6.0,28.0,18.0,40,124,C,0
4359,C,29.0,33,301.0,47,69,3.0,44,12,15,24.0,47.0,71.0,5,3.0,11.0,12.0,45,109,PF,0
4352,C,27.0,51,1714.0,480,759,43.0,437,258,314,105.0,479.0,584.0,515,65.0,36.0,181.0,134,1261,PF,0
4350,C,26.0,50,1489.0,312,583,78.0,234,175,223,78.0,320.0,398.0,66,30.0,117.0,81.0,165,877,C,0
4349,C,29.0,50,624.0,112,185,0.0,112,59,85,60.0,78.0,138.0,31,16.0,25.0,31.0,74,283,PF,0
4343,C,27.0,50,1627.0,372,764,100.0,272,295,350,95.0,336.0,431.0,127,44.0,76.0,109.0,154,1139,C,0
4342,C,26.0,58,1354.0,166,253,0.0,166,64,104,176.0,334.0,510.0,148,32.0,33.0,28.0,162,396,C,0
4325,C,29.0,56,392.0,52,100,22.0,30,24,28,8.0,72.0,80.0,54,10.0,6.0,18.0,44,150,SG,0
4313,C,27.0,48,1329.0,309,585,84.0,225,150,198,65.0,318.0,383.0,84,22.0,56.0,93.0,129,852,C,0
4307,PF,27.0,47,1258.0,281,563,58.0,223,58,70,120.0,353.0,473.0,85,22.0,11.0,59.0,81,678,C,0
5099,C,21.0,57,1212.0,203,285,0.0,203,62,114,166.0,271.0,437.0,43,23.0,117.0,46.0,129,468,C,0
